task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
491,1538355065,729263232,1538355073,78370512,8.054441928863525,27.030191211739286,1,0.8879837067209776,"""human"""
492,1538355090,103805389,1538355097,78496383,7.681158542633057,26.990863909566304,1,0.8882113821138211,"""human"""
493,1538355113,281203052,1538355139,78250068,26.50129771232605,26.989870874683465,1,0.8884381338742393,"""human"""
494,1538355155,710431820,1538355163,78242336,8.071991443634033,26.951575572191462,1,0.888663967611336,"""human"""
495,1538355178,590948602,1538355186,78305555,8.19210696220398,26.91367765580765,1,0.8888888888888888,"""human"""
496,1538355202,82809235,1538355254,693785325,51.86569309234619,26.963984138542607,1,0.8891129032258065,"""robot"""
497,1538355271,480228241,1538355278,78310286,7.302874565124512,26.92442456193613,1,0.8893360160965795,"""human"""
498,1538355294,603480924,1538355317,78463934,23.181158542633057,26.916907963503796,1,0.8895582329317269,"""human"""
499,1538355333,945853471,1538355350,78278499,16.836931467056274,26.8967076098035,1,0.8897795591182365,"""human"""
500,1538355366,557435315,1538355381,78232416,15.224888801574707,26.873363972187043,1,0.89,"""human"""
501,1538355397,467861100,1538355450,895049530,53.42718839645386,26.926365617744462,0,0.8882235528942116,''
502,1538355471,781948223,1538355524,560285911,52.778337478637695,26.97786356965859,1,0.8884462151394422,"""robot"""
503,1538355537,37453820,1538355569,78299799,32.40845990180969,26.988659983837817,1,0.8886679920477137,"""human"""
504,1538355584,90300987,1538355615,77951127,30.876501321792603,26.99637395474646,1,0.8888888888888888,"""robot"""
505,1538355627,111052727,1538355634,78369148,7.672638654708862,26.958109132370147,1,0.8891089108910891,"""human"""
506,1538355650,158558145,1538355681,77940660,31.620848417282104,26.9673240321427,1,0.8893280632411067,"""robot"""
507,1538355695,626734457,1538355748,710257723,53.08352327346802,27.01883527324985,0,0.8875739644970414,''
508,1538355761,229567956,1538355813,845042017,52.615473985672,27.069222357329423,0,0.8858267716535433,''
509,1538355829,882674364,1538355862,78134437,32.898669958114624,27.080675103106994,1,0.8860510805500982,"""robot"""
510,1538355875,385253725,1538355882,78274151,7.3974878787994385,27.042080618353452,1,0.8862745098039215,"""human"""
511,1538355898,509473318,1538355929,78046996,31.270996570587158,27.050356383426315,1,0.8864970645792564,"""robot"""
512,1538355939,885019247,1538355979,78318692,39.89816761016846,27.075449764728546,1,0.88671875,"""human"""
